Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Carlos López Guadarrama,Diputado,@CarlosLGMX,Estado de México,21-08-29,,,,,H,39,
Adriana Lozano Rodríguez,Diputada,@adrianalozanomx,Tamaulipas,18-08-29,,,,,M,53,
Salma Luévano Luna,Diputada,@SalmaLuevano,Aguascalientes,21-08-29,,,,,M,54,
Carlos Alberto Manzo Rodríguez,Diputado,,Michoacán,21-08-29,,,,,H,37,
Héctor Ireneo Mares Cossío,Diputado,@MaresCossio,Baja California,21-08-29,,,,,H,64,
Fernando Marín Díaz,Diputado,@fernando_da1,Ciudad de México,21-08-29,,,,,H,64,
Cecilia Márquez Alkadef Cortes,Diputada,@Marquez_Cecilia,Jalisco,21-08-29,,,,,M,53,
Esther Berenice Martínez Díaz,Diputada,@BereMartinezD,Nuevo León,21-08-29,,,,,M,37,
Gabriela Martínez Espinoza,Diputada,@GabrielaCajeme,Sonora,21-08-29,,,,,M,54,
Jaime Martinez Lopez,Diputado,@jaime_martinezl,Michoacán,21-08-29,,,,,H,71,
Hirepan Maya Martínez,Diputado,@HirepanMaya,Michoacán,18-08-29,,,,,H,44,
Marcos Rosendo Medina Filigrana,Diputado,@Marcos_Rosendo,Tabasco,18-08-29,,,,,H,51,
Lorena Méndez Denis,Diputada,@lorenamendezd,Tabasco,18-08-29,,,,,M,53,
Mayra Alicia Mendoza Álvarez,Diputada,@MayraAliciaMen1,Chiapas,21-08-29,,,,,M,41,
María del Rosario Merlín García,Diputada,@Rosariomerlin2,Guerrero,18-08-29,,,,,M,57,
Moisés Ignacio Mier Velazco,Diputado,@NachoMierV,Puebla,18-08-29,,,,,H,61,
Flor Ivone Morales Miranda,Diputada,@florivonemm,Ciudad de México,18-08-29,,,,,M,53,
Martha Rosa Morales Romero,Diputada,@Martha_MR2021,Veracruz,21-08-29,,,,,M,55,
Evangelina Moreno Guerra,Diputada,@Evangelina_MoG,Baja California,21-08-29,,,,,M,48,
Rubén Gregorio Muñoz Álvarez,Diputado,@RubenGMA,Baja California Sur,21-08-29,,,,,H,56,
Daniel Murguía Lardizábal,Diputado,@DanielMurguiaL1,Chihuahua,21-08-29,,,,,H,56,
Manuel de Jesús Narcía Coutiño,Diputado,@manacochiapas,Chiapas,21-08-29,,,,,H,67,
Blanca Araceli Narro Panameño,Diputada,@blancanarromx,Tamaulipas,21-08-29,,,,,M,56,
